CUSTOMER_ID,CHATBOT_USAGE_COUNT,LAST_CHATBOT_INTERACTION,EMAIL_OPENED_COUNT,CLICKED_AD_CAMPAIGNS,PARTICIPATED_IN_SURVEY,PREFERRED_CHANNEL,LOYALTY_PROGRAM_STATUS,MARKETING_RESPONSIVENESS,REFERRAL_LIKELIHOOD,GENDER,TENURE_MONTHS,TOTAL_TRANSACTIONS,TOTAL_UNITS_PURCHASED,TOTAL_SPEND,AVG_RATING,FIRST_PURCHASE_DATE,LAST_PURCHASE_DATE
13700,2,29/10/2024,5,2,false,Email,Silver,High,Likely,M,42,8,12,438.16,2.375000,9/05/2024,9/05/2024
12437,1,1/10/2024,5,2,false,Chatbot,None,Moderate,Unlikely,F,50,7,7,537.28,2.857143,14/12/2024,24/08/2024
12967,2,5/9/2024,6,1,false,Email,Gold,Moderate,Likely,F,34,7,8,272.7,2.714286,22/06/2024,31/01/2024
14952,6,11/11/2024,7,2,false,Email,Gold,Moderate,Likely,F,28,7,8,381.35,2.428571,29/03/2024,29/04/2024
16351,4,22/10/2024,7,2,true,Email,Bronze,Moderate,Unlikely,F,20,4,4,143.17,2.500000,17/08/2024,17/08/2024
12471,3,24/1/2024,6,3,true,Social Media,None,High,Very Likely,F,11,59,118,5510.16,3.118644,16/12/2024,7/10/2024
16378,6,14/12/2024,3,2,false,Email,Silver,Moderate,Likely,F,4,4,6,626.88,2.500000,12/12/2024,12/12/2024
17035,3,10/8/2024,1,0,false,Social Media,Bronze,High,Very Likely,F,10,14,20,1254.7,2.928571,12/06/2024,12/07/2024
17018,1,23/10/2024,7,1,false,SMS,Silver,Moderate,Likely,M,26,3,3,182.58,3.000000,14/09/2024,14/09/2024
16996,4,19/11/2024,4,3,false,Email,None,Moderate,Unlikely,F,13,3,3,12.68,2.000000,7/12/2024,7/12/2024
14491,4,10/3/2024,6,3,true,Email,Bronze,Moderate,Likely,F,6,2,53,204.67,2.000000,20/01/2024,21/01/2024
18171,5,4/11/2024,5,1,true,Email,None,Moderate,Unlikely,M,21,5,6,501.75,2.400000,13/08/2024,13/08/2024
17540,3,11/12/2024,10,1,false,Email,None,Low,Unlikely,F,37,4,17,166.2,2.750000,11/12/2024,11/12/2024
16321,6,25/10/2024,7,1,true,Chatbot,Silver,Low,Unlikely,M,18,,,,,,
14889,0,,9,1,false,Social Media,Gold,Moderate,Unlikely,M,6,6,15,326.99,3.166667,8/06/2024,8/06/2024
14907,2,29/5/2024,5,2,false,Email,Gold,High,Likely,M,46,25,149,2872.64,2.440000,20/03/2024,24/05/2024
18144,0,,4,1,false,Chatbot,Silver,Moderate,Unlikely,F,26,5,7,411.62,3.200000,1/10/2024,28/05/2024
17555,3,11/10/2024,5,2,false,Chatbot,Bronze,High,Likely,F,27,28,109,2095.31,2.678571,8/09/2024,8/09/2024
14243,7,6/7/2024,2,3,false,Email,Gold,High,Likely,M,46,24,46,1423.53,2.500000,27/06/2024,4/10/2024
14264,4,29/4/2024,4,1,true,Social Media,None,Low,Unlikely,M,16,1,1,11.34,2.000000,30/01/2024,30/01/2024
18193,3,4/11/2024,7,1,false,SMS,Silver,Low,Unlikely,F,31,,,,,,
18223,3,17/4/2024,6,0,false,Email,Bronze,High,Likely,M,44,29,49,2588.51,2.965517,10/01/2024,9/09/2024
15482,2,2/7/2024,6,0,true,Chatbot,Bronze,Low,Unlikely,F,18,1,50,79.5,4.000000,13/06/2024,13/06/2024
17619,2,22/9/2024,4,1,true,Email,None,High,Very Likely,F,30,47,164,3282.1,3.106383,12/01/2024,12/01/2024
14236,3,3/3/2024,5,5,false,Email,Bronze,Low,Unlikely,F,18,2,2,39.6,2.500000,31/01/2024,31/01/2024
