TRANSACTION_ID,CUSTOMER_ID,TRANSACTION_DATE,PRODUCT_SKU,PRODUCT_DESCRIPTION,PRODUCT_CATEGORY,QUANTITY,AVG_PRICE,DELIVERY_CHARGES,COUPON_STATUS,COUPON_CODE,DISCOUNT_PCT,PAYMENT_METHOD,SHIPPING_PROVIDER,TRANSACTION_RATING,GROSS_REVENUE,NET_REVENUE
35901,14135,17/08/2024,GGOEGFYQ016599,Foam Can and Bottle Cooler,Drinkware,1,1.11,6,Used,EXTRA20,20,Credit Card,Australia Post Express,3,1.11,0.888
42360,17027,11/01/2024,GGOEGAAJ032613,Google Men's Short Sleeve Badge Tee Charcoal,Apparel,2,3.8,6,Used,SALE20,20,Cash,Australia Post Express,3,7.6,6.08
32617,12383,13/07/2024,GGOEGAAB033814,Google Men's Vintage Badge Tee Black,Apparel,1,7.6,6,Not Used,no,0,PayPal,StarTrack Express,3,7.6,7.6
35133,13069,8/09/2024,GGOEGAAJ057016,Google Men's Short Sleeve Performance Badge Tee Charcoal,Apparel,3,13.2,6,Used,SALE20,20,Credit Card,Australia Post Express,2,39.6,31.68
43067,13004,11/10/2024,GGOEGFKQ020399,Google Laptop and Cell Phone Stickers,Office,20,2.39,49.73,Used,OFF20,20,PayPal,Toll Priority,3,47.8,38.24
34194,13081,31/07/2024,GGOEGATB060614,Google Women's Convertible Vest-Jacket Black,Apparel,1,23.76,6,Used,SALE10,10,Credit Card,Australia Post Courier,3,23.76,21.384
46253,14217,12/09/2024,GGOEGOAQ012899,Ballpoint LED Light Pen,Office,2,2.55,6,Not Used,no,0,Credit Card,Australia Post Courier,3,5.1,5.1
29394,13767,6/01/2024,GGOEGFYQ016599,Foam Can and Bottle Cooler,Drinkware,6,1.59,6,Used,EXTRA30,30,PayPal,StarTrack Express,3,9.54,6.678
26468,15723,26/04/2024,GGOEGOBC078699,Google Luggage Tag,Fun,1,8.99,6,Used,ELEC10,10,Credit Card,StarTrack Express,4,8.99,8.091
24416,14952,29/03/2024,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6.5,Used,ELEC30,30,Venmo,Australia Post Courier,3,119,83.3
19768,14911,2/06/2024,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6.5,Not Used,no,0,PayPal,Australia Post Express,5,149,149
33641,15464,25/07/2024,GGOEGPJC203399,Crunch Noise Dog Toy,Lifestyle,2,2.79,16.47,Used,EXTRA10,10,Debit Card,Toll Priority,3,5.58,5.022
34993,14472,8/08/2024,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1,79,6,Used,ELEC20,20,Venmo,Australia Post Express,5,79,63.2
