CUSTOMER_ID,TRANSACTION_ID,TRANSACTION_DATE,PRODUCT_SKU,PRODUCT_DESCRIPTION,PRODUCT_CATEGORY,QUANTITY,AVG_PRICE,DELIVERY_CHARGES,COUPON_STATUS,COUPON_CODE,DISCOUNT_PCT,PAYMENT_METHOD,SHIPPING_PROVIDER,TRANSACTION_RATING
14135,35901,17/08/2024,GGOEGFYQ016599,Foam Can and Bottle Cooler,Drinkware,1,1.11,6,Used,EXTRA20,20,Credit Card,Australia Post Express,3
17027,42360,11/01/2024,GGOEGAAJ032613,Google Men's Short Sleeve Badge Tee Charcoal,Apparel,2,3.8,6,Used,SALE20,20,Cash,Australia Post Express,3
12383,32617,13/07/2024,GGOEGAAB033814,Google Men's Vintage Badge Tee Black,Apparel,1,7.6,6,Not Used,no,0,PayPal,StarTrack Express,3
13069,35133,8/09/2024,GGOEGAAJ057016,Google Men's Short Sleeve Performance Badge Tee Charcoal,Apparel,3,13.2,6,Used,SALE20,20,Credit Card,Australia Post Express,2
13004,43067,11/10/2024,GGOEGFKQ020399,Google Laptop and Cell Phone Stickers,Office,20,2.39,49.73,Used,OFF20,20,PayPal,Toll Priority,3
13081,34194,31/07/2024,GGOEGATB060614,Google Women's Convertible Vest-Jacket Black,Apparel,1,23.76,6,Used,SALE10,10,Credit Card,Australia Post Courier,3
14217,46253,12/09/2024,GGOEGOAQ012899,Ballpoint LED Light Pen,Office,2,2.55,6,Not Used,no,0,Credit Card,Australia Post Courier,3
13767,29394,6/01/2024,GGOEGFYQ016599,Foam Can and Bottle Cooler,Drinkware,6,1.59,6,Used,EXTRA30,30,PayPal,StarTrack Express,3
15723,26468,26/04/2024,GGOEGOBC078699,Google Luggage Tag,Fun,1,8.99,6,Used,ELEC10,10,Credit Card,StarTrack Express,4
14952,24416,29/03/2024,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6.5,Used,ELEC30,30,Venmo,Australia Post Courier,3
14911,19768,2/06/2024,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6.5,Not Used,no,0,PayPal,Australia Post Express,5
15464,33641,25/07/2024,GGOEGPJC203399,Crunch Noise Dog Toy,Lifestyle,2,2.79,16.47,Used,EXTRA10,10,Debit Card,Toll Priority,3
14472,34993,8/08/2024,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1,79,6,Used,ELEC20,20,Venmo,Australia Post Express,5
17602,38948,25/09/2024,GGOEGAXR065129,Google Toddler Short Sleeve Tee Red,Apparel,1,13.59,6,Used,SALE30,30,Credit Card,Australia Post Courier,1
15570,27214,5/04/2024,GGOEGALQ036614,Google Women's Scoop Neck Tee White,Apparel,1,11.19,6,Not Used,no,0,Venmo,Australia Post Express,2
